Id,SalePrice
1461,120910.10128819503
1462,159804.05466979305
1463,186497.47627882776
1464,195580.19297160205
1465,190336.6185005434
1466,173905.32026054073
1467,175958.5766909383
1468,163478.151003967
1469,184258.7103027085
1470,122700.25993412634
1471,195836.28400846198
1472,95363.51172761407
1473,96139.45157822102
1474,146975.17770970726
1475,113131.40170265085
1476,380919.96924242575
1477,248977.57688127836
1478,285096.35690337344
1479,284420.90933980554
1480,496510.981326117
1481,314199.30086970236
1482,205655.44325506123
1483,179626.66779975942
1484,164915.98907070683
1485,183042.68468417868
1486,195444.43745634504
1487,340207.8718198112
1488,227944.900039537
1489,199500.38445946647
1490,236799.2697478376
1491,194347.7275660464
1492,93121.2379817157
1493,179789.5067784225
1494,294031.14238614106
1495,288959.57222910103
1496,239259.36383937247
1497,181531.84530097333
1498,164172.629355816
1499,158205.66675351947
1500,155428.720031633
1501,175867.04291971994
1502,144176.20612476868
1503,289417.5599866605
1504,237042.0710337493
1505,225249.37224077858
1506,184248.38747546717
1507,252887.80085716466
1508,199754.40981631866
1509,160220.95554854223
1510,145480.79950251873
1511,151338.31689779158
1512,172973.1082980438
1513,143322.73108462655
1514,158329.2459253176
1515,197042.8430901999
1516,151651.95319811426
1517,164359.2567518284
1518,130113.31295985356
1519,219455.33632299243
1520,130524.80497742098
1521,134960.76815037147
1522,174344.40112401513
1523,112242.2663373029
1524,124864.79338480544
1525,122733.45813001772
1526,112185.10736714248
1527,102382.91257773321
1528,132409.74307311184
1529,150572.15404622504
1530,173314.17220072343
1531,105740.84066964629
1532,96292.7933346188
1533,148608.12141952445
1534,125733.30927624178
1535,153061.74473171716
1536,107405.19564116464
1537,60200.74421680157
1538,149393.17143704378
1539,191796.2172808814
1540,94098.3802884445
1541,142925.51015839426
1542,142922.48312134846
1543,204565.07151464006
1544,82209.31236879544
1545,108856.62369513996
1546,133128.41551757997
1547,136188.36809369916
1548,137178.56759028687
1549,115625.45107524717
1550,136383.26557147072
1551,110288.1825303937
1552,135936.74279339216
1553,152617.77961937382
1554,113110.40041333344
1555,165023.83467609034
1556,82342.87342947347
1557,109508.95923726671
1558,98593.87403019721
1559,69104.18179582602
1560,132616.66785614062
1561,133199.9658434778
1562,129915.18790261587
1563,119488.72310405553
1564,161902.3561119617
1565,148684.53935165965
1566,235054.49636319294
1567,74900.94395057394
1568,234841.04965592886
1569,133649.81288607864
1570,135293.56331159995
1571,120409.03317249817
1572,146353.9201580788
1573,245503.33953552542
1574,115824.31791884679
1575,219790.65448659292
1576,244424.83001149446
1577,187561.32530882893
1578,145155.40930274018
1579,147255.8414423329
1580,192159.39638584017
1581,151486.98839390874
1582,124239.47083644819
1583,307287.0272418063
1584,222616.81866430267
1585,139541.35630179214
1586,67191.77836640437
1587,100028.22008694931
1588,149433.48836685342
1589,99046.99137659669
1590,134828.88386442864
1591,94667.18046943843
1592,121696.88885472956
1593,124237.87858795514
1594,132865.526316121
1595,107153.28676126995
1596,235360.74537719594
1597,190787.60819327124
1598,213106.08495897712
1599,163133.7327812019
1600,163139.6834127792
1601,64827.2601186272
1602,112866.17932691117
1603,81308.59237223714
1604,263449.926818731
1605,237862.06021117707
1606,167136.6725331784
1607,168004.25411517732
1608,216183.21716695555
1609,185956.42301517652
1610,150028.9121004908
1611,138964.56421116902
1612,170346.40816507503
1613,164470.69272672688
1614,123433.47374204465
1615,88487.82624121643
1616,74415.34166114313
1617,91580.15265503268
1618,125567.48738410883
1619,139411.8820088055
1620,150093.66567905335
1621,138608.26793922664
1622,138325.60250136725
1623,256727.31889523723
1624,214672.54514824314
1625,119814.09141194877
1626,163713.00812041733
1627,193949.84360970437
1628,270860.97692579625
1629,177178.45149269965
1630,367815.5193501405
1631,218065.32658798198
1632,239673.9518503406
1633,167893.24318632582
1634,185523.57883376168
1635,176944.6638030048
1636,152879.4494736964
1637,202855.2691730392
1638,183631.77799269435
1639,182997.73146338636
1640,259045.00737778188
1641,177680.50604759925
1642,234893.23221559435
1643,216044.29507216567
1644,228219.94859957366
1645,199252.1835147161
1646,157218.11859238474
1647,154967.6752299049
1648,130097.59754462857
1649,139192.32018294669
1650,113566.98800192686
1651,120822.72851008343
1652,96581.46496303818
1653,97920.90444612934
1654,145590.0430876974
1655,139589.8923561664
1656,142975.4658136738
1657,147770.23088022738
1658,144858.05599484447
1659,118844.09236130741
1660,154480.17421388678
1661,463122.055199714
1662,393915.2191612673
1663,388017.0920583966
1664,484301.955364176
1665,309379.51033327216
1666,322308.9732796957
1667,384371.1788521844
1668,343655.2921751755
1669,294751.7169127482
1670,345203.828057334
